Order Id, Order Ref, Order Status, Fulfilment Id, Status, CreatedOn, Estafeta tracking Number
251315,100462400,Entregado Parcial,328021,Enviado al Cliente,2020-06-30T23:23:17.845Z,'WEPH00000000121495
251300,100462476,Solicitud de Devolución Iniciada,327992,Enviado al Cliente,2020-06-30T23:20:32.980Z,'WEPH00000000122221
50749,300148982,Fulfilment en Proceso,327178,Enviado al Cliente,2020-06-30T22:08:18.865Z,'5018618555651609774852
250214,300460728,Cancelado,325936,Enviado al Cliente,2020-06-30T20:00:08.275Z,'WEPH00000000121330
240943,300445844,Orden con Cancelacion,324511,Enviado al Cliente,2020-06-30T17:37:01.493Z,'324511
248292,300457255,Fulfilment en Proceso,323159,Enviado al Cliente,2020-06-30T14:30:53.712Z,'40904405.1594080406
68147,100176591,Solicitud de Devolución Iniciada,322774,Enviado al Cliente,2020-06-30T13:28:50.059Z,'6018717028651608658101
246226,100453975,Fulfilment en Proceso,319747,Enviado al Cliente,2020-06-30T00:03:56.552Z,'40904405.1593882578
241879,300447313,Fulfilment en Proceso,313153,Enviado al Cliente,2020-06-29T00:43:55.825Z,'WEPH00000000121614
240201,300444769,Solicitud de Devolución Iniciada,310400,Enviado al Cliente,2020-06-28T18:02:23.121Z,'WEPH00000000120088
240133,100444663,Fulfilment en Proceso,310302,Enviado al Cliente,2020-06-28T17:50:38.653Z,'40986448.1593618085
238088,300441433,Fulfilment en Proceso,307390,Enviado al Cliente,2020-06-28T00:34:14.791Z,'WEPH00000000119752
235828,300438182,Cancelado,304031,Enviado al Cliente,2020-06-27T15:47:40.636Z,'WEPH00000000119556
6653,100084364,Fulfilment con Cancelacion,294475,Enviado al Cliente,2020-06-26T04:36:28.047Z,'38795133.1594425277
230254,300429558,Solicitud de Devolución Iniciada,293215,Enviado al Cliente,2020-06-26T02:44:32.509Z,'WEPH00000000119130
230145,100429294,Solicitud de Devolución Iniciada,293084,Enviado al Cliente,2020-06-26T02:15:47.421Z,'WEPH00000000119026
223647,200419510,Cancelado,283364,Enviado al Cliente,2020-06-25T00:01:42.736Z,'40801207.1594491021
219202,300412602,Fulfilment en Proceso,276952,Enviado al Cliente,2020-06-24T03:51:55.122Z,'WEPH00000000117763
211708,300401857,Fulfilment con Cancelacion,265637,Enviado al Cliente,2020-06-22T22:32:55.442Z,'40962437.1593031247
211448,100401354,Entregado Parcial,265224,Enviado al Cliente,2020-06-22T21:46:15.920Z,'Null
207744,100395975,Fulfilment en Proceso,259558,Enviado al Cliente,2020-06-22T02:39:38.011Z,'WEPH00000000117419
207397,100395439,Solicitud de Devolución Iniciada,259073,Enviado al Cliente,2020-06-22T01:36:53.212Z,'WEPH00000000116917
205661,300392957,Fulfilment en Proceso,256464,Enviado al Cliente,2020-06-21T19:12:20.058Z,'WEPH00000000116889
114412,300246787,Fulfilment con Cancelacion,256413,Enviado al Cliente,2020-06-21T19:05:08.641Z,'Null
204976,300391885,Solicitud de Devolución Iniciada,255399,Enviado al Cliente,2020-06-21T16:46:07.961Z,'WEPH00000000116954
95026,100218097,Fulfilment en Proceso,252706,Enviado al Cliente,2020-06-21T00:25:57.695Z,'Null
202593,100388355,Fulfilment en Proceso,251966,Enviado al Cliente,2020-06-20T22:43:49.668Z,'WEPH00000000116588
202163,100387720,Entregado Parcial,251314,Enviado al Cliente,2020-06-20T21:01:46.237Z,'Null
177265,100348848,Entregado Parcial,245296,Enviado al Cliente,2020-06-19T21:24:42.532Z,'Null
197471,300380730,Fulfilment en Proceso,244295,Enviado al Cliente,2020-06-19T18:58:17.176Z,'WEPH00000000116104
197178,100380299,Fulfilment en Proceso,243927,Enviado al Cliente,2020-06-19T18:04:31.007Z,'WEPH00000000122334
140879,300290250,Entregado Parcial,235708,Enviado al Cliente,2020-06-18T12:42:45.052Z,'WEPH00000000118239
134165,100278984,Orden con Cancelacion,234975,Enviado al Cliente,2020-06-18T12:37:24.672Z,'WEPH00000000121104
189779,100368490,Fulfilment en Proceso,232407,Enviado al Cliente,2020-06-18T00:59:32.435Z,'Null
189621,100368203,Fulfilment en Proceso,232208,Enviado al Cliente,2020-06-18T00:30:52.615Z,'Null
188742,100366978,Fulfilment en Proceso,230974,Enviado al Cliente,2020-06-17T21:46:11.638Z,'Null
188665,100366825,Fulfilment en Proceso,230849,Enviado al Cliente,2020-06-17T21:33:09.957Z,'Null
187878,100365534,Orden con Cancelacion,229528,Enviado al Cliente,2020-06-17T18:50:42.382Z,'Null
185653,100361919,Solicitud de Devolución Iniciada,226536,Enviado al Cliente,2020-06-17T03:36:35.599Z,'WEPH00000000114776
184850,300360792,Entregado Parcial,225558,Enviado al Cliente,2020-06-17T01:15:41.250Z,'Null
184556,300360392,Cancelado,225194,Enviado al Cliente,2020-06-17T00:26:58.271Z,'40136486.1592515267
178352,300350429,Fulfilment en Proceso,216768,Enviado al Cliente,2020-06-15T19:46:08.773Z,'WEPH00000000114399
178178,100350087,Cancelado,216566,Enviado al Cliente,2020-06-15T19:16:04.454Z,'38338183.1592690210
176670,100347995,Entregado Parcial,213921,Enviado al Cliente,2020-06-15T13:16:07.293Z,'Null
174766,300344924,Fulfilment en Proceso,211544,Enviado al Cliente,2020-06-15T01:41:52.134Z,'WEPH00000000114537
116238,100249959,Solicitud de Devolución Iniciada,206644,Enviado al Cliente,2020-06-14T15:45:10.571Z,'WEPH00000000113531
166981,100333333,Entregado Parcial,201290,Enviado al Cliente,2020-06-13T19:18:38.833Z,'Null
165170,300330553,Entregado Parcial,198905,Enviado al Cliente,2020-06-13T06:31:11.841Z,'Null
163792,200328576,Fulfilment en Proceso,197208,Enviado al Cliente,2020-06-13T00:45:40.736Z,'WEPH00000000113450
163244,300327730,Fulfilment con Cancelacion,196535,Enviado al Cliente,2020-06-12T23:10:05.324Z,'Null
160663,300323342,Fulfilment en Proceso,193029,Enviado al Cliente,2020-06-12T01:36:54.539Z,'WEPH00000000112323
159853,100321916,Fulfilment en Proceso,191996,Enviado al Cliente,2020-06-11T22:37:57.686Z,'39380368.1596850805
155255,100314267,Cancelado,186088,Enviado al Cliente,2020-06-10T21:53:39.666Z,'Null
155174,100314096,Fulfilment en Proceso,185981,Enviado al Cliente,2020-06-10T21:31:29.953Z,'Null
153615,300311449,Fulfilment en Proceso,183962,Enviado al Cliente,2020-06-10T15:42:41.976Z,'WEPH00000000111622
153335,300310802,Cancelado,183614,Enviado al Cliente,2020-06-10T13:34:31.996Z,'Null
150775,300306677,Fulfilment en Proceso,180344,Enviado al Cliente,2020-06-09T20:11:29.264Z,'WEPH00000000118209
150620,100306309,Fulfilment en Proceso,180132,Enviado al Cliente,2020-06-09T19:31:05.830Z,'WEPH00000000111490
149684,300305090,Entregado Parcial,178928,Enviado al Cliente,2020-06-09T16:09:24.469Z,'Null
148977,100303811,Entregado Parcial,178065,Enviado al Cliente,2020-06-09T04:43:24.065Z,'Null
147803,100301747,Entregado Parcial,176581,Enviado al Cliente,2020-06-08T23:16:24.000Z,'WEPH00000000110841
147717,100301576,Fulfilment en Proceso,176462,Enviado al Cliente,2020-06-08T22:52:24.543Z,'38499949.1591801984
147569,100301353,Fulfilment en Proceso,176217,Enviado al Cliente,2020-06-08T22:15:28.863Z,'WEPH00000000115480
147410,200301156,Solicitud de Devolución Iniciada,176030,Enviado al Cliente,2020-06-08T21:29:45.771Z,'Null
147353,100300974,Fulfilment en Proceso,175952,Enviado al Cliente,2020-06-08T21:16:06.889Z,'WEPH00000000110805
146469,100299738,Fulfilment en Proceso,174860,Enviado al Cliente,2020-06-08T17:50:24.590Z,'Null
145737,100298589,Fulfilment en Proceso,173921,Enviado al Cliente,2020-06-08T13:55:22.249Z,'Null
145584,300298156,Fulfilment en Proceso,173748,Enviado al Cliente,2020-06-08T06:46:10.868Z,'Null
144915,300296927,Fulfilment en Proceso,172938,Enviado al Cliente,2020-06-08T02:04:06.215Z,'40831218.1592234002
144904,300296738,Fulfilment en Proceso,172924,Enviado al Cliente,2020-06-08T02:01:15.103Z,'Null
144729,300296501,Fulfilment en Proceso,172705,Enviado al Cliente,2020-06-08T01:29:21.084Z,'WEPH00000000110780
143069,100293942,Entregado Parcial,170486,Enviado al Cliente,2020-06-07T19:46:10.103Z,'WEPH00000000110620
138944,100287117,Fulfilment en Proceso,165176,Enviado al Cliente,2020-06-06T17:13:42.714Z,'WEPH00000000110163
138793,100286968,Fulfilment en Proceso,164957,Enviado al Cliente,2020-06-06T16:32:41.097Z,'41015039.1591712143
137740,100284987,Entregado Parcial,163622,Enviado al Cliente,2020-06-06T03:09:17.446Z,'WEPH00000000110077
134449,100279713,Fulfilment en Proceso,159454,Enviado al Cliente,2020-06-05T12:17:32.877Z,'WEPH00000000109443
133572,100278009,Solicitud de Devolución Iniciada,158387,Enviado al Cliente,2020-06-05T02:31:47.410Z,'Null
131495,300274925,Fulfilment en Proceso,155904,Enviado al Cliente,2020-06-04T20:56:43.910Z,'WEPH00000000109145
131303,100274581,Fulfilment con Cancelacion,155628,Enviado al Cliente,2020-06-04T20:13:22.720Z,'Null
130992,100274148,Fulfilment en Proceso,155229,Enviado al Cliente,2020-06-04T19:04:57.620Z,'37967155.1593725999
129784,100272314,Fulfilment en Proceso,153730,Enviado al Cliente,2020-06-04T15:09:32.089Z,'38104888.1591469143
127148,300267514,Fulfilment en Proceso,150473,Enviado al Cliente,2020-06-03T20:31:16.843Z,'WEPH00000000108115
126493,300266547,Fulfilment en Proceso,149597,Enviado al Cliente,2020-06-03T18:02:34.870Z,'WEPH00000000107811
125459,300264777,Orden con Cancelacion,148280,Enviado al Cliente,2020-06-03T05:18:36.298Z,'Null
124932,100263836,Entregado Parcial,147587,Enviado al Cliente,2020-06-03T03:46:08.113Z,'40348991.1591454763
124899,100263922,Fulfilment en Proceso,147549,Enviado al Cliente,2020-06-03T03:41:17.577Z,'WEPH00000000107353
124478,100263024,Fulfilment en Proceso,147019,Enviado al Cliente,2020-06-03T02:31:10.413Z,'Null
124388,100263034,Solicitud de Devolución Iniciada,146904,Enviado al Cliente,2020-06-03T02:16:12.764Z,'Null
124330,300263041,Solicitud de Devolución Iniciada,146824,Enviado al Cliente,2020-06-03T02:07:11.819Z,'WEPH00000000107718
123714,100261572,Fulfilment en Proceso,146003,Enviado al Cliente,2020-06-03T00:16:04.472Z,'41025839.1591451161
123132,100260797,Solicitud de Devolución Iniciada,145196,Enviado al Cliente,2020-06-02T22:24:43.664Z,'40019971.1591454707
121774,300258598,Entregado Parcial,143417,Enviado al cliente,2020-06-02T17:37:09.203Z,'WEPH00000000109741
121539,100258319,Fulfilment en Proceso,143060,Enviado al Cliente,2020-06-02T16:49:38.907Z,'37541897.1591465363
121225,100242302,Fulfilment con Cancelacion,142629,Enviado al Cliente,2020-06-02T15:46:13.856Z,'39174287.1592420843
120453,100256414,Orden con Cancelacion,141616,Enviado al Cliente,2020-06-02T05:35:57.155Z,'WEPH00000000108634
120355,100256221,Fulfilment en Proceso,141491,Enviado al Cliente,2020-06-02T05:24:52.498Z,'40125513.1591447446
120185,100256028,Fulfilment en Proceso,141263,Enviado al Cliente,2020-06-02T05:05:33.319Z,'38123745.1591459939
120156,100255946,Fulfilment en Proceso,141226,Enviado al Cliente,2020-06-02T05:02:19.151Z,'WEPH00000000107007
119935,300255260,Orden con Cancelacion,140953,Enviado al Cliente,2020-06-02T04:31:24.800Z,'WEPH00000000109948
119937,300255264,Fulfilment en Proceso,140939,Enviado al Cliente,2020-06-02T04:31:19.216Z,'WEPH00000000107348
119864,100254897,Fulfilment en Proceso,140881,Enviado al Cliente,2020-06-02T04:30:54.064Z,'36019663.1591454613
119203,100254644,Fulfilment en Proceso,139998,Enviado al Cliente,2020-06-02T03:36:35.871Z,'39419987.1591456422
118798,100254049,Entregado Parcial,139468,Enviado al Cliente,2020-06-02T03:11:34.375Z,'Null
118472,100253459,Fulfilment en Proceso,139041,Enviado al Cliente,2020-06-02T02:48:23.365Z,'40519696.1591447416
118373,100253338,Entregado Parcial,138930,Enviado al Cliente,2020-06-02T02:42:29.077Z,'Null
118022,100252742,Cancelado,138498,Enviado al Cliente,2020-06-02T02:21:17.681Z,'Null
117666,100252187,Fulfilment en Proceso,138051,Enviado al Cliente,2020-06-02T01:57:53.059Z,'38239734.1591468884
116621,100250102,Fulfilment en Proceso,136738,Enviado al Cliente,2020-06-02T00:46:11.666Z,'Null
116071,100249520,Fulfilment con Cancelacion,136005,Enviado al Cliente,2020-06-01T23:57:00.787Z,'Null
115781,100249137,Fulfilment en Proceso,135603,Enviado al Cliente,2020-06-01T23:30:58.432Z,'39279612.1591468841
115706,100248951,Fulfilment en Proceso,135513,Enviado al Cliente,2020-06-01T23:22:10.991Z,'38123782.1593897565
115138,100247601,Fulfilment en Proceso,134801,Enviado al Cliente,2020-06-01T22:31:10.834Z,'40422569.1591211767
114955,100247659,Fulfilment en Proceso,134560,Enviado al Cliente,2020-06-01T22:16:00.431Z,'40894513.1591452770
114756,100247365,Fulfilment en Proceso,134300,Enviado al Cliente,2020-06-01T21:52:19.051Z,'Null
114642,100247100,Entregado Parcial,134150,Enviado al Cliente,2020-06-01T21:41:36.322Z,'38507019.1591456319
114458,100246870,Cancelado,133906,Enviado al Cliente,2020-06-01T21:22:49.455Z,'39790921.1592593536
114451,300246933,Entregado Parcial,133898,Enviado al Cliente,2020-06-01T21:22:15.036Z,'Null
114270,100246348,Entregado Parcial,133676,Enviado al Cliente,2020-06-01T21:01:24.337Z,'Null
112872,100244496,Solicitud de Devolución Iniciada,131834,Enviado al Cliente,2020-06-01T18:19:53.220Z,'WEPH00000000107050
112638,100243685,Solicitud de Devolución Iniciada,131542,Enviado al Cliente,2020-06-01T18:01:14.297Z,'Null
112404,300243751,Fulfilment en Proceso,131242,Enviado al Cliente,2020-06-01T17:32:52.341Z,'38144897.1593528047
111326,300242020,Fulfilment en Proceso,129849,Enviado al Cliente,2020-06-01T15:05:33.091Z,'Null
110218,300239812,Entregado Parcial,128430,Enviado al Cliente,2020-06-01T05:16:12.705Z,'Null
110129,100239939,Orden con Cancelacion,128313,Enviado al Cliente,2020-06-01T05:03:34.046Z,'38603123.1591311579
109446,100238951,Entregado Parcial,127481,Enviado al Cliente,2020-06-01T03:48:39.448Z,'Null
109091,300238377,Cancelado,127033,Enviado al Cliente,2020-06-01T03:06:38.061Z,'Null
107942,100236841,Solicitud de Devolución Iniciada,125601,Enviado al Cliente,2020-06-01T01:04:29.617Z,'WEPH00000000106808
