Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1203267,1001953292,1859789,Recolectado,2021-02-24T23:47:43.510Z,
1201521,3001950607,1859770,Recolectado,2021-02-24T23:43:57.831Z,
1203209,3001953171,1859713,Recolectado,2021-02-24T23:28:15.681Z,
1203209,3001953171,1859712,Recolectado,2021-02-24T23:28:13.978Z,
1203126,1001953034,1859617,Recolectado,2021-02-24T22:53:45.661Z,
1203120,1001953024,1859603,Recolectado,2021-02-24T22:49:22.235Z,
1203115,3001952925,1859593,Recolectado,2021-02-24T22:48:06.394Z,
1203107,1001952993,1859587,Recolectado,2021-02-24T22:46:13.547Z,
1203107,1001952993,1859586,Recolectado,2021-02-24T22:46:12.357Z,
1203106,1001952982,1859581,Recolectado,2021-02-24T22:46:05.422Z,
1203100,1001953009,1859575,Recolectado,2021-02-24T22:43:46.943Z,
1203094,1001952917,1859566,Recolectado,2021-02-24T22:39:55.534Z,
1203091,3001953002,1859563,Recolectado,2021-02-24T22:38:19.288Z,
1203089,3001952912,1859558,Recolectado,2021-02-24T22:37:01.927Z,
1203028,1001952858,1859480,Recolectado,2021-02-24T22:16:06.609Z,
1202988,1001952857,1859429,Recolectado,2021-02-24T21:55:11.951Z,
1202988,1001952857,1859428,Recolectado,2021-02-24T21:55:07.767Z,
1202988,1001952857,1859427,Recolectado,2021-02-24T21:55:06.484Z,
1202979,1001952803,1859414,Recolectado,2021-02-24T21:50:42.689Z,
1202967,1001952837,1859396,Recolectado,2021-02-24T21:46:05.668Z,
1202927,2001952750,1859352,Recolectado,2021-02-24T21:26:59.710Z,
1202918,3001952732,1859342,Recolectado,2021-02-24T21:19:57.142Z,
1202910,1001952708,1859328,Recolectado,2021-02-24T21:16:07.054Z,
1202907,1001952692,1859327,Recolectado,2021-02-24T21:16:06.841Z,
1202873,3001952585,1859288,Recolectado,2021-02-24T21:00:11.192Z,
1202871,1001952670,1859280,Recolectado,2021-02-24T21:00:04.927Z,
1202855,1001952674,1859266,Recolectado,2021-02-24T20:54:07.323Z,
1202742,3001952462,1859123,Recolectado,2021-02-24T20:01:43.908Z,
1202721,1001952438,1859096,Recolectado,2021-02-24T19:50:00.670Z,
1202721,1001952438,1859095,Recolectado,2021-02-24T19:49:59.368Z,
1202721,1001952438,1859094,Recolectado,2021-02-24T19:49:56.619Z,
1202720,3001952323,1859093,Recolectado,2021-02-24T19:49:48.879Z,
1202703,1001952300,1859073,Recolectado,2021-02-24T19:45:35.204Z,
1202688,3001952306,1859057,Recolectado,2021-02-24T19:36:39.770Z,
1202684,1001952404,1859053,Recolectado,2021-02-24T19:34:40.838Z,
1202684,1001952404,1859052,Recolectado,2021-02-24T19:34:39.676Z,
1202671,3001952299,1859029,Recolectado,2021-02-24T19:30:45.931Z,
1202655,1001952381,1859013,Recolectado,2021-02-24T19:24:54.192Z,
1202640,3001952362,1858993,Recolectado,2021-02-24T19:17:44.907Z,
1202579,1001952212,1858920,Recolectado,2021-02-24T18:59:18.542Z,
1202491,1001951994,1858814,Recolectado,2021-02-24T18:28:57.501Z,
1202485,1001951991,1858807,Recolectado,2021-02-24T18:26:45.902Z,
1202467,3001951923,1858779,Recolectado,2021-02-24T18:16:10.713Z,
1202452,1001951970,1858767,Recolectado,2021-02-24T18:15:49.311Z,
1202440,1001951964,1858754,Recolectado,2021-02-24T18:10:43.598Z,
1202440,1001951964,1858753,Recolectado,2021-02-24T18:10:42.279Z,
1202436,3001952077,1858748,Recolectado,2021-02-24T18:09:32.110Z,
1202397,3001951947,1858702,Recolectado,2021-02-24T17:58:42.543Z,
1202362,1001951722,1858661,Recolectado,2021-02-24T17:45:33.533Z,
1202348,3001951878,1858645,Recolectado,2021-02-24T17:44:38.018Z,
1202291,3001951803,1858568,Recolectado,2021-02-24T17:24:13.222Z,
1066243,1001749836,1858560,Recolectado,2021-02-24T17:22:26.299Z,
1202246,1001951678,1858514,Recolectado,2021-02-24T17:05:31.527Z,
1202216,1001951667,1858477,Recolectado,2021-02-24T16:56:36.273Z,
1202215,1001951744,1858476,Recolectado,2021-02-24T16:56:02.687Z,
1202214,1001951666,1858475,Recolectado,2021-02-24T16:55:14.481Z,
1202212,3001951664,1858473,Recolectado,2021-02-24T16:54:42.484Z,
1202200,3001951652,1858459,Recolectado,2021-02-24T16:48:34.197Z,
1202185,1001951587,1858441,Recolectado,2021-02-24T16:46:06.081Z,
1202061,3001951509,1858296,Recolectado,2021-02-24T15:53:24.963Z,
1202061,3001951509,1858295,Recolectado,2021-02-24T15:53:23.185Z,
1202030,3001951363,1858261,Recolectado,2021-02-24T15:35:05.938Z,
1202029,1001951362,1858260,Recolectado,2021-02-24T15:34:26.562Z,
1202013,1001951452,1858239,Recolectado,2021-02-24T15:30:36.370Z,
1201974,1001951438,1858194,Recolectado,2021-02-24T15:10:26.094Z,
1201939,1001951229,1858142,Recolectado,2021-02-24T14:55:02.215Z,
1201866,3001951204,1858059,Recolectado,2021-02-24T14:17:28.303Z,
1201827,1001951113,1858012,Recolectado,2021-02-24T13:56:57.086Z,
1201825,3001951111,1858010,Recolectado,2021-02-24T13:55:09.323Z,
1201743,3001951055,1857918,Recolectado,2021-02-24T13:08:06.678Z,
1201719,3001951036,1857893,Recolectado,2021-02-24T12:31:05.800Z,
1201704,1001951018,1857867,Recolectado,2021-02-24T10:04:48.510Z,
1201622,3001950787,1857752,Recolectado,2021-02-24T06:41:51.283Z,
1201619,3001950785,1857749,Recolectado,2021-02-24T06:38:55.602Z,
1201611,3001950773,1857740,Recolectado,2021-02-24T06:32:29.408Z,
1201600,3001950861,1857729,Recolectado,2021-02-24T06:27:54.156Z,
1201600,3001950861,1857728,Recolectado,2021-02-24T06:27:52.651Z,
1201586,3001950737,1857710,Recolectado,2021-02-24T06:16:07.288Z,
1201575,1001950838,1857701,Recolectado,2021-02-24T06:09:26.430Z,
1201558,1001950696,1857682,Recolectado,2021-02-24T06:00:38.962Z,
1201556,3001950630,1857679,Recolectado,2021-02-24T05:59:42.640Z,
1201555,3001950628,1857678,Recolectado,2021-02-24T05:58:37.005Z,
1201539,3001950615,1857658,Recolectado,2021-02-24T05:54:40.244Z,
1201521,3001950607,1857626,Recolectado,2021-02-24T05:41:34.619Z,
1201488,3001950659,1857579,Recolectado,2021-02-24T05:32:17.824Z,
1201364,1001950428,1857434,Recolectado,2021-02-24T05:00:08.825Z,
1201365,1001950448,1857415,Recolectado,2021-02-24T04:56:09.179Z,
1201363,3001950426,1857414,Recolectado,2021-02-24T04:55:57.109Z,
1201363,3001950426,1857413,Recolectado,2021-02-24T04:55:55.331Z,
1201363,3001950426,1857411,Recolectado,2021-02-24T04:55:20.487Z,
1201358,1001950420,1857405,Recolectado,2021-02-24T04:53:18.920Z,
1201340,3001950329,1857375,Recolectado,2021-02-24T04:46:16.206Z,
1201336,3001950261,1857372,Recolectado,2021-02-24T04:46:09.960Z,
1201312,1001950299,1857358,Recolectado,2021-02-24T04:43:36.167Z,
1201314,3001950381,1857343,Recolectado,2021-02-24T04:39:44.944Z,
1201281,3001950269,1857308,Recolectado,2021-02-24T04:32:29.471Z,
1201281,3001950269,1857307,Recolectado,2021-02-24T04:32:26.542Z,
1201281,3001950269,1857306,Recolectado,2021-02-24T04:32:25.129Z,
1201281,3001950269,1857305,Recolectado,2021-02-24T04:32:23.643Z,
1201238,1001950231,1857248,Recolectado,2021-02-24T04:22:04.122Z,
1201183,3001950103,1857190,Recolectado,2021-02-24T04:06:13.141Z,
1201183,3001950103,1857189,Recolectado,2021-02-24T04:06:11.867Z,
1201180,3001950173,1857188,Recolectado,2021-02-24T04:06:05.477Z,
1201180,3001950173,1857187,Recolectado,2021-02-24T04:06:03.588Z,
1201178,3001950172,1857184,Recolectado,2021-02-24T04:05:20.945Z,
1201178,3001950172,1857181,Recolectado,2021-02-24T04:05:09.928Z,
1201177,1001950171,1857180,Recolectado,2021-02-24T04:04:44.722Z,
1201145,3001950084,1857138,Recolectado,2021-02-24T03:58:49.505Z,
1201145,3001950084,1857136,Recolectado,2021-02-24T03:58:44.623Z,
1201133,3001950028,1857121,Recolectado,2021-02-24T03:54:41.527Z,
1201124,1001950071,1857112,Recolectado,2021-02-24T03:52:16.551Z,
1201101,1001949928,1857083,Recolectado,2021-02-24T03:45:07.798Z,
1201095,3001949993,1857072,Recolectado,2021-02-24T03:43:38.086Z,
1201062,1001950040,1857056,Recolectado,2021-02-24T03:38:40.389Z,
1201069,3001949964,1857040,Recolectado,2021-02-24T03:35:49.766Z,
1201045,3001949943,1857009,Recolectado,2021-02-24T03:30:36.274Z,
1201035,1001949728,1856997,Recolectado,2021-02-24T03:27:47.886Z,
1201035,1001949728,1856996,Recolectado,2021-02-24T03:27:46.629Z,
1201030,3001949925,1856990,Recolectado,2021-02-24T03:25:53.511Z,
1201003,3001949834,1856950,Recolectado,2021-02-24T03:16:09.571Z,
1200982,1001949882,1856930,Recolectado,2021-02-24T03:12:06.659Z,
1200979,3001949710,1856925,Recolectado,2021-02-24T03:11:11.754Z,
1200959,1001949704,1856899,Recolectado,2021-02-24T03:06:03.340Z,
1200949,1001949699,1856886,Recolectado,2021-02-24T03:03:07.179Z,
1200917,3001949681,1856846,Recolectado,2021-02-24T02:55:14.053Z,
1200905,3001949814,1856835,Recolectado,2021-02-24T02:51:56.215Z,
1200859,3001949650,1856774,Recolectado,2021-02-24T02:38:28.594Z,
1200819,1001949629,1856722,Recolectado,2021-02-24T02:26:38.965Z,
1200808,3001949619,1856709,Recolectado,2021-02-24T02:23:22.920Z,
1200803,3001949615,1856704,Recolectado,2021-02-24T02:20:53.364Z,
1200801,1001949613,1856700,Recolectado,2021-02-24T02:20:30.300Z,
1200781,3001949600,1856677,Recolectado,2021-02-24T02:15:41.972Z,
1200773,3001949583,1856666,Recolectado,2021-02-24T02:12:57.623Z,
1200752,3001949560,1856643,Recolectado,2021-02-24T02:06:34.674Z,
1200740,1001949546,1856628,Recolectado,2021-02-24T02:02:54.293Z,
1200735,2001949537,1856620,Recolectado,2021-02-24T02:01:22.737Z,
1200721,1001949404,1856604,Recolectado,2021-02-24T01:55:50.575Z,
1200720,3001949520,1856603,Recolectado,2021-02-24T01:55:19.538Z,
1200704,1001949507,1856581,Recolectado,2021-02-24T01:51:33.236Z,
1200704,1001949507,1856580,Recolectado,2021-02-24T01:51:31.685Z,
1200675,1001949487,1856535,Recolectado,2021-02-24T01:44:24.429Z,
1200674,3001949377,1856534,Recolectado,2021-02-24T01:43:37.337Z,
1200665,3001949476,1856521,Recolectado,2021-02-24T01:41:51.882Z,
1200665,3001949476,1856520,Recolectado,2021-02-24T01:41:50.295Z,
1200665,3001949476,1856519,Recolectado,2021-02-24T01:41:48.987Z,
1200624,1001949443,1856466,Recolectado,2021-02-24T01:30:36.741Z,
1200602,2001949325,1856437,Recolectado,2021-02-24T01:23:27.947Z,
1200593,3001949307,1856428,Recolectado,2021-02-24T01:20:39.776Z,
1200514,3001949218,1856316,Recolectado,2021-02-24T00:58:20.073Z,
1200509,1001949106,1856310,Recolectado,2021-02-24T00:54:59.424Z,
1200488,1001949191,1856285,Recolectado,2021-02-24T00:50:29.200Z,
1200485,1001949187,1856281,Recolectado,2021-02-24T00:49:40.536Z,
1200477,3001949091,1856272,Recolectado,2021-02-24T00:47:02.911Z,
1200423,1001949068,1856190,Recolectado,2021-02-24T00:31:51.323Z,
1200409,1001949028,1856163,Recolectado,2021-02-24T00:28:33.693Z,
1200354,3001949036,1856080,Recolectado,2021-02-24T00:10:17.009Z,
1200350,1001948971,1856076,Recolectado,2021-02-24T00:09:20.896Z,
1200348,3001948970,1856073,Recolectado,2021-02-24T00:09:08.451Z,
1200342,3001948965,1856068,Recolectado,2021-02-24T00:08:01.096Z,
1200341,3001948963,1856067,Recolectado,2021-02-24T00:07:51.488Z,
1200337,1001948958,1856063,Recolectado,2021-02-24T00:06:49.003Z,
1200321,1001948937,1856041,Recolectado,2021-02-24T00:00:54.666Z,
1200317,3001948891,1856036,Recolectado,2021-02-24T00:00:08.179Z,
1200272,1001948771,1855984,Recolectado,2021-02-23T23:46:07.994Z,
1200242,3001948784,1855946,Recolectado,2021-02-23T23:36:56.967Z,
1200209,3001948839,1855906,Recolectado,2021-02-23T23:28:38.295Z,
1200199,1001948747,1855893,Recolectado,2021-02-23T23:24:25.680Z,
1200196,1001948742,1855889,Recolectado,2021-02-23T23:22:00.718Z,
1200190,1001948739,1855881,Recolectado,2021-02-23T23:20:25.754Z,
1200169,3001948699,1855851,Recolectado,2021-02-23T23:14:22.279Z,
1200147,2001948608,1855823,Recolectado,2021-02-23T23:06:35.241Z,
1200136,1001948600,1855811,Recolectado,2021-02-23T23:02:03.300Z,
1200126,1001948590,1855796,Recolectado,2021-02-23T23:01:06.392Z,
1200122,1001948663,1855794,Recolectado,2021-02-23T23:00:50.632Z,
1200096,1001948641,1855760,Recolectado,2021-02-23T22:52:08.642Z,
1200093,1001948589,1855757,Recolectado,2021-02-23T22:50:50.929Z,
1200042,3001948486,1855691,Recolectado,2021-02-23T22:31:24.417Z,
1200010,2001948460,1855653,Recolectado,2021-02-23T22:25:19.799Z,
1200004,1001948450,1855646,Recolectado,2021-02-23T22:21:36.518Z,
1199994,1001948436,1855631,Recolectado,2021-02-23T22:19:18.459Z,
1199994,1001948436,1855630,Recolectado,2021-02-23T22:19:16.760Z,
1199994,1001948436,1855629,Recolectado,2021-02-23T22:19:15.507Z,
1199976,3001948414,1855603,Recolectado,2021-02-23T22:14:11.750Z,
1199970,3001948409,1855597,Recolectado,2021-02-23T22:11:55.848Z,
1199962,3001948393,1855587,Recolectado,2021-02-23T22:07:29.718Z,
1199962,3001948393,1855586,Recolectado,2021-02-23T22:07:27.041Z,
1199962,3001948393,1855585,Recolectado,2021-02-23T22:07:25.550Z,
1199947,1001948380,1855570,Recolectado,2021-02-23T22:03:16.252Z,
1199947,1001948380,1855569,Recolectado,2021-02-23T22:03:14.121Z,
1199947,1001948380,1855568,Recolectado,2021-02-23T22:03:10.877Z,
1199947,1001948380,1855567,Recolectado,2021-02-23T22:03:09.536Z,
1199915,1001948287,1855531,Recolectado,2021-02-23T21:54:06.133Z,
1199905,1001948282,1855521,Recolectado,2021-02-23T21:51:20.133Z,
1199831,3001948193,1855424,Recolectado,2021-02-23T21:27:00.960Z,
1199829,1001948189,1855422,Recolectado,2021-02-23T21:26:15.882Z,
1199829,1001948189,1855421,Recolectado,2021-02-23T21:26:14.481Z,
1199815,3001948173,1855406,Recolectado,2021-02-23T21:22:52.491Z,
1199779,1001948141,1855363,Recolectado,2021-02-23T21:12:02.832Z,
1199746,3001948072,1855325,Recolectado,2021-02-23T21:00:16.995Z,
1199700,1001948073,1855271,Recolectado,2021-02-23T20:44:03.612Z,
1199668,3001947954,1855225,Recolectado,2021-02-23T20:31:08.074Z,
1199662,1001948043,1855216,Recolectado,2021-02-23T20:30:18.309Z,
1199546,2001947852,1855072,Recolectado,2021-02-23T19:55:21.918Z,
1199545,3001947615,1855071,Recolectado,2021-02-23T19:54:23.838Z,
1199497,1001947766,1855000,Recolectado,2021-02-23T19:37:50.258Z,
1199460,3001947580,1854948,Recolectado,2021-02-23T19:26:24.015Z,
1199458,3001947577,1854946,Recolectado,2021-02-23T19:25:20.184Z,
1199451,1001947571,1854938,Recolectado,2021-02-23T19:22:13.438Z,
1199451,1001947571,1854937,Recolectado,2021-02-23T19:22:11.898Z,
1199420,1001947701,1854902,Recolectado,2021-02-23T19:15:45.106Z,
1199403,1001947553,1854877,Recolectado,2021-02-23T19:06:47.398Z,
1199369,1001947521,1854837,Recolectado,2021-02-23T18:56:03.489Z,
